id;name;description;color_hex_code;creation_date;modification_date;limit_date
1;system-worthy zero defect South Carolina;National metrics;Dynamic overriding;2020-06-24T18:25:44;2020-06-25T02:02:16;2020-06-24T12:36:41
2;Lilangeni Business-focused;Analyst input;Credit Card Account;2020-06-24T12:23:43;2020-06-24T21:35:18;2020-06-25T03:15:06
3;back-end Fantastic Granite Fish;Spurs compressing;Director Dobra Computer;2020-06-24T11:00:53;2020-06-24T17:34:49;2020-06-25T06:05:57
4;programming;hacking Practical Steel Table salmon;tan;2020-06-24T17:32:13;2020-06-24T16:18:14;2020-06-25T09:45:02
5;Money Market Account workforce;Bedfordshire;connecting Shoes Practical Metal Tuna;2020-06-25T06:30:29;2020-06-24T22:37:21;2020-06-25T03:21:36
6;JSON payment Home Loan Account;Tennessee Credit Card Account;Architect enable;2020-06-24T14:11:26;2020-06-25T06:43:40;2020-06-24T21:45:02
7;Regional interface;quantifying Utah parallelism;Small;2020-06-25T06:11:01;2020-06-24T16:53:18;2020-06-24T19:28:34
8;Personal Loan Account Producer Global;multi-state;Unbranded Concrete Chips Steel composite;2020-06-24T18:14:58;2020-06-25T00:50:34;2020-06-24T13:02:47
9;Russian Ruble Wells calculate;Keyboard;bandwidth;2020-06-25T07:43:41;2020-06-24T18:58:56;2020-06-25T02:28:53
10;quantify white;Buckinghamshire transmitter FTP;Berkshire Suriname;2020-06-24T18:17:51;2020-06-24T10:12:47;2020-06-25T00:25:58
